"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"F12XRSTDnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F12XMSTDm","numeric","2","0","99.81","0","0.002","0","0","0","0","1","0.044"
"F12XMSTDnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F12XSSTDm","numeric","2","0","99.46","0","0.005","0","0","0","0","1","0.073"
"F12XSSTDnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F12XHSTDm","numeric","2","0","99.06","0","0.009","0","0","0","0","1","0.097"
"F12XHSTDnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F1RPROm","numeric","2","0","99.25","0","0.007","0","0","0","0","1","0.086"
"F1RPROnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F1RPRO1","numeric","2","0","73.77","0","0.262","0","0","0","1","1","0.44"
"F1RPRO2","numeric","2","0","36.88","0","0.631","0","0","1","1","1","0.483"
"F1MPROm","numeric","2","0","88.89","0","0.111","0","0","0","0","1","0.314"
"F1MPROnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F1MPRO1","numeric","2","0","89.61","0","0.104","0","0","0","0","1","0.305"
"F1MPRO2","numeric","2","0","89.22","0","0.108","0","0","0","0","1","0.31"
"F1MPRO3","numeric","2","0","73.29","0","0.267","0","0","0","1","1","0.442"
"F1MPRO4","numeric","2","0","67.86","0","0.321","0","0","0","1","1","0.467"
"F1SPROm","numeric","2","0","89.01","0","0.11","0","0","0","0","1","0.313"
"F1SPROnc","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F1SPRO1","numeric","2","0","76.65","0","0.234","0","0","0","0","1","0.423"
"F1SPRO2","numeric","2","0","68.87","0","0.311","0","0","0","1","1","0.463"
"F1SPRO3","numeric","2","0","79.49","0","0.205","0","0","0","0","1","0.404"
"F22XRSTDm","numeric","2","0","99.84","0","0.002","0","0","0","0","1","0.04"
"F22XRSTDnc","numeric","2","0","82.51","0","0.175","0","0","0","0","1","0.38"
"F22XMSTDm","numeric","2","0","99.84","0","0.002","0","0","0","0","1","0.04"
"F22XMSTDnc","numeric","2","0","82.51","0","0.175","0","0","0","0","1","0.38"
"F22XSSTDm","numeric","2","0","99.55","0","0.005","0","0","0","0","1","0.067"
"F22XSSTDnc","numeric","2","0","82.51","0","0.175","0","0","0","0","1","0.38"
"F22XHSTDm","numeric","2","0","99.12","0","0.009","0","0","0","0","1","0.093"
"F22XHSTDnc","numeric","2","0","82.51","0","0.175","0","0","0","0","1","0.38"
"F2RPROm","numeric","2","0","97.34","0","0.027","0","0","0","0","1","0.161"
"F2RPROnc","numeric","2","0","82.51","0","0.175","0","0","0","0","1","0.38"
"F2RPRO1","numeric","2","0","83.79","0","0.162","0","0","0","0","1","0.369"
